ID,TEN_TOA_NHA,DIA_CHI,Quan,SL_SEE,TANG,VI_TRI,LINKS
NSG-BC-B1.1,NEW SÀI GÒN - BLOCK C2,NGUYỄN HỮU THỌ XÃ NHÀ BÈ,NHÀ BÈ,"1,1","G,B",B1.1,
NSG-BD-G1.1,NEW SÀI GÒN - BLOCK D1,NGUYỄN HỮU THỌ XÃ NHÀ BÈ,NHÀ BÈ,"1,1","G,B",G1.1,
NSG-BD-B1.1,NEW SÀI GÒN - BLOCK D1,NGUYỄN HỮU THỌ XÃ NHÀ BÈ,NHÀ BÈ,"1,1","G,B",B1.1,
NSG-BD-G1.1,NEW SÀI GÒN - BLOCK D2,NGUYỄN HỮU THỌ XÃ NHÀ BÈ,NHÀ BÈ,"1,1","G,B",G1.1,
NSG-BD-B1.1,NEW SÀI GÒN - BLOCK D2,NGUYỄN HỮU THỌ XÃ NHÀ BÈ,NHÀ BÈ,"1,1","G,B",B1.1,
NA-G1.1,NEWTOWN APARTMENT,"69 ĐƯỜNG 18, PHƯỜNG HIỆP BÌNH CHÁNH",THỦ ĐỨC,"1,1","G,B",G1.1,
NA-B1.1,NEWTOWN APARTMENT,"69 ĐƯỜNG 18, PHƯỜNG HIỆP BÌNH CHÁNH",THỦ ĐỨC,"1,1","G,B",B1.1,
NĐD-G1.1,NGỌC ĐÔNG DƯƠNG,"119 ĐƯỜNG BÌNH LONG , KHU PHỐ 9 , P.BÌNH TRỊ ĐÔNG",TÂN PHÚ,"1,1","G,B",G1.1,
NĐD-B1.1,NGỌC ĐÔNG DƯƠNG,"119 ĐƯỜNG BÌNH LONG , KHU PHỐ 9 , P.BÌNH TRỊ ĐÔNG",TÂN PHÚ,"1,1","G,B",B1.1,
NK-KB-BA-G1.1,NGUYỄN KIM - KHU B - BLOCK A,"505 ĐƯỜNG NHẬT TẢO, PHƯỜNG 7",Q10,"1,1","G,B",G1.1,
NK-KB-BA-B1.1,NGUYỄN KIM - KHU B - BLOCK A,"505 ĐƯỜNG NHẬT TẢO, PHƯỜNG 7",Q10,"1,1","G,B",B1.1,
NK-KB-BA-G1.1,NGUYỄN KIM - KHU B - BLOCK A,"505 ĐƯỜNG NHẬT TẢO, PHƯỜNG 7",Q10,"1,1","G,B",G1.1,
NK-KB-BA-B1.1,NGUYỄN KIM - KHU B - BLOCK A,"505 ĐƯỜNG NHẬT TẢO, PHƯỜNG 7",Q10,"1,1","G,B",B1.1,
NK-KB-BA-G1.1,NGUYỄN KIM - KHU B - BLOCK A,"505 ĐƯỜNG NHẬT TẢO, PHƯỜNG 7",Q10,"1,1","G,B",G1.1,
NK-KB-BA-B1.1,NGUYỄN KIM - KHU B - BLOCK A,"505 ĐƯỜNG NHẬT TẢO, PHƯỜNG 7",Q10,"1,1","G,B",B1.1,
NNP-BA-M1.1,NGUYỄN NGỌC PHƯƠNG - BLOCK A,"66 NGUYỄN NGỌC PHƯƠNG, PHƯỜNG 19",BÌNH THẠNH,"1,1","M,1",M1.1,
NNP-BA-11.1,NGUYỄN NGỌC PHƯƠNG - BLOCK A,"66 NGUYỄN NGỌC PHƯƠNG, PHƯỜNG 19",BÌNH THẠNH,"1,1","M,1",11.1,
NNP-BB-M1.1,NGUYỄN NGỌC PHƯƠNG - BLOCK B,"66 NGUYỄN NGỌC PHƯƠNG, PHƯỜNG 19",BÌNH THẠNH,"1,1","M,1",M1.1,
NNP-BB-11.1,NGUYỄN NGỌC PHƯƠNG - BLOCK B,"66 NGUYỄN NGỌC PHƯƠNG, PHƯỜNG 19",BÌNH THẠNH,"1,1","M,1",11.1,
PA-BA-G1.1,PARKVIEW APARTMENT - BLOCK A,"115 NGUYỄN ĐỨC CẢNH , TÂN HƯNG",Q7,"1,1","G,B",G1.1,
PA-BA-B1.1,PARKVIEW APARTMENT - BLOCK A,"115 NGUYỄN ĐỨC CẢNH , TÂN HƯNG",Q7,"1,1","G,B",B1.1,
PA-BB-G1.1,PARKVIEW APARTMENT - BLOCK B,"115 NGUYỄN ĐỨC CẢNH , TÂN HƯNG",Q7,"1,1","G,B",G1.1,
PA-BB-B1.1,PARKVIEW APARTMENT - BLOCK B,"115 NGUYỄN ĐỨC CẢNH , TÂN HƯNG",Q7,"1,1","G,B",B1.1,
PVL-BA-G1.1,PETRO VIETNAM LANDMARK - BLOCK A,"65 MAI CHÍ THỌ, PHƯỜNG AN PHÚ",THỦ ĐỨC,"1,1","G,B",G1.1,
PVL-BA-B1.1,PETRO VIETNAM LANDMARK - BLOCK A,"65 MAI CHÍ THỌ, PHƯỜNG AN PHÚ",THỦ ĐỨC,"1,1","G,B",B1.1,
PVL-BB-G1.1,PETRO VIETNAM LANDMARK - BLOCK B,"65 MAI CHÍ THỌ, PHƯỜNG AN PHÚ",THỦ ĐỨC,"1,1","G,B",G1.1,
PVL-BB-B1.1,PETRO VIETNAM LANDMARK - BLOCK B,"65 MAI CHÍ THỌ, PHƯỜNG AN PHÚ",THỦ ĐỨC,"1,1","G,B",B1.1,
PVL-BC-G1.1,PETRO VIETNAM LANDMARK - BLOCK C,"65 MAI CHÍ THỌ, PHƯỜNG AN PHÚ",THỦ ĐỨC,"1,1","G,B",G1.1,
PVL-BC-B1.1,PETRO VIETNAM LANDMARK - BLOCK C,"65 MAI CHÍ THỌ, PHƯỜNG AN PHÚ",THỦ ĐỨC,"1,1","G,B",B1.1,
PVL-BD-G1.1,PETRO VIETNAM LANDMARK - BLOCK D,"65 MAI CHÍ THỌ, PHƯỜNG AN PHÚ",THỦ ĐỨC,"1,1","G,B",G1.1,
PVL-BD-B1.1,PETRO VIETNAM LANDMARK - BLOCK D,"65 MAI CHÍ THỌ, PHƯỜNG AN PHÚ",THỦ ĐỨC,"1,1","G,B",B1.1,
PĐ-11.1,PHỐ ĐÔNG,"1 ĐƯỜNG D31, TỔ 12, KP6, PHƯỜNG PHƯỚC LONG B",THỦ ĐỨC,"1,1,1","1,B1,B2",11.1,
PĐ-B11.1,PHỐ ĐÔNG,"1 ĐƯỜNG D31, TỔ 12, KP6, PHƯỜNG PHƯỚC LONG B",THỦ ĐỨC,"1,1,1","1,B1,B2",B11.1,
PĐ-B21.1,PHỐ ĐÔNG,"1 ĐƯỜNG D31, TỔ 12, KP6, PHƯỜNG PHƯỚC LONG B",THỦ ĐỨC,"1,1,1","1,B1,B2",B21.1,
PNP-B11.1,PHÚ NHUẬN PLAZA,"82 TRẦN HUY LIỆU, PHƯỜNG CẦU KIỆU",PHÚ NHUẬN,"1,1","B1,B2",B11.1,
PNP-B21.1,PHÚ NHUẬN PLAZA,"82 TRẦN HUY LIỆU, PHƯỜNG CẦU KIỆU",PHÚ NHUẬN,"1,1","B1,B2",B21.1,
PT-BA-1.1,PHÚ THẠNH - BLOCK A,53 NGUYỄN SƠN,TÂN PHÚ,1,G,1.1,
PT-BB-1.1,PHÚ THẠNH - BLOCK B,53 NGUYỄN SƠN,TÂN PHÚ,1,G,1.1,
PT-BC-1.1,PHÚ THẠNH - BLOCK C,53 NGUYỄN SƠN,TÂN PHÚ,1,G,1.1,
PT-BD-1.1,PHÚ THẠNH - BLOCK D,53 NGUYỄN SƠN,TÂN PHÚ,1,G,1.1,
PT-BE-1.1,PHÚ THẠNH - BLOCK E,53 NGUYỄN SƠN,TÂN PHÚ,1,G,1.1,
PT-A-G1.1,PHÚC THỊNH -BLOCK A,341 CAO ĐẠT,Q5,"1,1","G,B",G1.1,
PT-A-B1.1,PHÚC THỊNH -BLOCK A,341 CAO ĐẠT,Q5,"1,1","G,B",B1.1,
PT-BB-G1.1,PHÚC THỊNH - BLOCK B,341 CAO ĐẠT,Q5,"1,1","G,B",G1.1,
PT-BB-B1.1,PHÚC THỊNH - BLOCK B,341 CAO ĐẠT,Q5,"1,1","G,B",B1.1,
PT-BC-G1.1,PHÚC THỊNH - BLOCK C,341 CAO ĐẠT,Q5,"1,1","G,B",G1.1,
PT-BC-B1.1,PHÚC THỊNH - BLOCK C,341 CAO ĐẠT,Q5,"1,1","G,B",B1.1,
PT-G1.1,PHƯỚC THÀNH,199 ĐIỆN BIÊN PHỦ,BÌNH THẠNH,"1,2","G,B",G1.1,
PT-B1.1,PHƯỚC THÀNH,199 ĐIỆN BIÊN PHỦ,BÌNH THẠNH,"1,2","G,B",B1.1,
PT-B1.2,PHƯỚC THÀNH,199 ĐIỆN BIÊN PHỦ,BÌNH THẠNH,"1,2","G,B",B1.2,
QT-BA-G1.1,QUANG THÁI - BLOCK A,111B LÝ THÁNH TÔNG,TÂN PHÚ,"1,1","G,B",G1.1,
QT-BA-B1.1,QUANG THÁI - BLOCK A,111B LÝ THÁNH TÔNG,TÂN PHÚ,"1,1","G,B",B1.1,
QT-BB-G1.1,QUANG THÁI - BLOCK B,111B LÝ THÁNH TÔNG,TÂN PHÚ,"1,1","G,B",G1.1,
QT-BB-B1.1,QUANG THÁI - BLOCK B,111B LÝ THÁNH TÔNG,TÂN PHÚ,"1,1","G,B",B1.1,
QCGL-G1.1,QUỐC CƯỜNG GIA LAI,"421 TRẦN XUÂN SOẠN, PHƯỜNG TÂN HƯNG",Q7,"1,1","G,B",G1.1,
QCGL-B1.1,QUỐC CƯỜNG GIA LAI,"421 TRẦN XUÂN SOẠN, PHƯỜNG TÂN HƯNG",Q7,"1,1","G,B",B1.1,
NK-KB-BA-G1.1,NGUYỄN KIM - KHU B - BLOCK A,"505 ĐƯỜNG NHẬT TẢO, PHƯỜNG 7",Q10,"1,1","G,B",G1.1,
NK-KB-BA-B1.1,NGUYỄN KIM - KHU B - BLOCK A,"505 ĐƯỜNG NHẬT TẢO, PHƯỜNG 7",Q10,"1,1","G,B",B1.1,
RP-11.1,REMAX PLAZA,"116-117-119 BÃI SẬY, PHƯỜNG 1",QUẬN 6,"2,1,1","1,B1,B2",11.1,
RP-11.2,REMAX PLAZA,"116-117-119 BÃI SẬY, PHƯỜNG 1",QUẬN 6,"2,1,1","1,B1,B2",11.2,
RP-B11.1,REMAX PLAZA,"116-117-119 BÃI SẬY, PHƯỜNG 1",QUẬN 6,"2,1,1","1,B1,B2",B11.1,
RP-B21.1,REMAX PLAZA,"116-117-119 BÃI SẬY, PHƯỜNG 1",QUẬN 6,"2,1,1","1,B1,B2",B21.1,
RG-G1.1,RES GREEN,7A THOẠI NGỌC HẦU,TÂN PHÚ,"1,1","G,B",G1.1,
RG-B1.1,RES GREEN,7A THOẠI NGỌC HẦU,TÂN PHÚ,"1,1","G,B",B1.1,
RL-BA-G1.1,RUBY LAND - BLOCK A,"4 LÊ QUÁT, PHƯỜNG TÂN THỚI HÒA",TÂN PHÚ,"1,1","G,B",G1.1,
RL-BA-B1.1,RUBY LAND - BLOCK A,"4 LÊ QUÁT, PHƯỜNG TÂN THỚI HÒA",TÂN PHÚ,"1,1","G,B",B1.1,
RL-BB-G1.1,RUBY LAND - BLOCK B,"4 LÊ QUÁT, PHƯỜNG TÂN THỚI HÒA",TÂN PHÚ,"1,1","G,B",G1.1,
RL-BB-B1.1,RUBY LAND - BLOCK B,"4 LÊ QUÁT, PHƯỜNG TÂN THỚI HÒA",TÂN PHÚ,"1,1","G,B",B1.1,
SP-BA-G1.1,SAIGONRES PLAZA - BLOCK A1,188 NGUYỄN XÍ,BÌNH THẠNH,"1,1","G,B",G1.1,
SP-BA-B1.1,SAIGONRES PLAZA - BLOCK A1,188 NGUYỄN XÍ,BÌNH THẠNH,"1,1","G,B",B1.1,
SP-BA-G1.1,SAIGONRES PLAZA - BLOCK A2,188 NGUYỄN XÍ,BÌNH THẠNH,"1,1","G,B",G1.1,
SP-BA-B1.1,SAIGONRES PLAZA - BLOCK A2,188 NGUYỄN XÍ,BÌNH THẠNH,"1,1","G,B",B1.1,
SP-BB-11.1,SAIGONRES PLAZA - BLOCK B1,188 NGUYỄN XÍ,BÌNH THẠNH,"1,1,1","1,2,B",11.1,
SP-BB-21.1,SAIGONRES PLAZA - BLOCK B1,188 NGUYỄN XÍ,BÌNH THẠNH,"1,1,1","1,2,B",21.1,
SP-BB-B1.1,SAIGONRES PLAZA - BLOCK B1,188 NGUYỄN XÍ,BÌNH THẠNH,"1,1,1","1,2,B",B1.1,
SP-BB-11.1,SAIGONRES PLAZA - BLOCK B2,188 NGUYỄN XÍ,BÌNH THẠNH,"1,1","1,2",11.1,
SP-BB-21.1,SAIGONRES PLAZA - BLOCK B2,188 NGUYỄN XÍ,BÌNH THẠNH,"1,1","1,2",21.1,
ST-BA-G1.1,SCREC TOWER - BLOCK A,"974A TRƯỜNG SA, PHƯỜNG 12",Q3,"1,1","G,2",G1.1,
ST-BA-21.1,SCREC TOWER - BLOCK A,"974A TRƯỜNG SA, PHƯỜNG 12",Q3,"1,1","G,2",21.1,
ST-BB-G1.1,SCREC TOWER - BLOCK B,"974A TRƯỜNG SA, PHƯỜNG 12",Q3,"1,1","G,2",G1.1,
ST-BB-21.1,SCREC TOWER - BLOCK B,"974A TRƯỜNG SA, PHƯỜNG 12",Q3,"1,1","G,2",21.1,
ST-BC-G1.1,SCREC TOWER - BLOCK C,"974A TRƯỜNG SA, PHƯỜNG 12",Q3,"1,1","G,2",G1.1,
ST-BC-21.1,SCREC TOWER - BLOCK C,"974A TRƯỜNG SA, PHƯỜNG 12",Q3,"1,1","G,2",21.1,
SRBA-G1.1,STARLIGHT RIVERSIDE- BLOCK A1,241/42 NGUYỄN VĂN LUÔNG,Q6,"1,1","G,B",G1.1,
SRBA-B1.1,STARLIGHT RIVERSIDE- BLOCK A1,241/42 NGUYỄN VĂN LUÔNG,Q6,"1,1","G,B",B1.1,
SR-BA-G1.1,STARLIGHT RIVERSIDE - BLOCK A2,241/42 NGUYỄN VĂN LUÔNG,Q6,"1,1","G,B",G1.1,
SR-BA-B1.1,STARLIGHT RIVERSIDE - BLOCK A2,241/42 NGUYỄN VĂN LUÔNG,Q6,"1,1","G,B",B1.1,
SR-BA-G1.1,STARLIGHT RIVERSIDE - BLOCK A3,241/42 NGUYỄN VĂN LUÔNG,Q6,"1,1","G,B",G1.1,
SR-BA-B1.1,STARLIGHT RIVERSIDE - BLOCK A3,241/42 NGUYỄN VĂN LUÔNG,Q6,"1,1","G,B",B1.1,
SR-BB-G1.1,STARLIGHT RIVERSIDE - BLOCK B1,241/42 NGUYỄN VĂN LUÔNG,Q6,"1,1","G,B",G1.1,
SR-BB-B1.1,STARLIGHT RIVERSIDE - BLOCK B1,241/42 NGUYỄN VĂN LUÔNG,Q6,"1,1","G,B",B1.1,
SR-BB-G1.1,STARLIGHT RIVERSIDE - BLOCK B2,241/42 NGUYỄN VĂN LUÔNG,Q6,"1,1","G,B",G1.1,
SR-BB-B1.1,STARLIGHT RIVERSIDE - BLOCK B2,241/42 NGUYỄN VĂN LUÔNG,Q6,"1,1","G,B",B1.1,
TH-G1.1,THE HUB,"195/10E ĐIỆN BIÊN PHỦ, PHƯỜNG 15",BÌNH THẠNH,"1,1","G,B",G1.1,
TH-B1.1,THE HUB,"195/10E ĐIỆN BIÊN PHỦ, PHƯỜNG 15",BÌNH THẠNH,"1,1","G,B",B1.1,
TV-BA-1.1,THUẬN VIỆT - BLOCK A,"319 LÝ THƯỜNG KIỆT, PHƯỜNG 15",Q11,1,G,1.1,
TV-BB-1.1,THUẬN VIỆT - BLOCK B,"319 LÝ THƯỜNG KIỆT, PHƯỜNG 15",Q11,1,G,1.1,
TV-BC-1.1,THUẬN VIỆT - BLOCK C,"319 LÝ THƯỜNG KIỆT, PHƯỜNG 15",Q11,1,G,1.1,
TV-BD-1.1,THUẬN VIỆT - BLOCK D,"319 LÝ THƯỜNG KIỆT, PHƯỜNG 15",Q11,1,G,1.1,
TNC-BA-G1.1,TÒA NHÀ CENTANA - BLOCK A,"36 MAI CHÍ THỌ , AN PHÚ",THỦ ĐỨC,"1,1","G,B",G1.1,
TNC-BA-B1.1,TÒA NHÀ CENTANA - BLOCK A,"36 MAI CHÍ THỌ , AN PHÚ",THỦ ĐỨC,"1,1","G,B",B1.1,
TNC-BB-G1.1,TÒA NHÀ CENTANA  - BLOCK B1,"36 MAI CHÍ THỌ , AN PHÚ",THỦ ĐỨC,"1,1","G,B",G1.1,
TNC-BB-B1.1,TÒA NHÀ CENTANA  - BLOCK B1,"36 MAI CHÍ THỌ , AN PHÚ",THỦ ĐỨC,"1,1","G,B",B1.1,
TNC-BB-G1.1,TÒA NHÀ CENTANA - BLOCK B2,"36 MAI CHÍ THỌ , AN PHÚ",THỦ ĐỨC,"1,1","G,B",G1.1,
TNC-BB-B1.1,TÒA NHÀ CENTANA - BLOCK B2,"36 MAI CHÍ THỌ , AN PHÚ",THỦ ĐỨC,"1,1","G,B",B1.1,
TNMG-B11.1,TÒA NHÀ MỘC GIA,"238-240 NGUYỄN OANH, PHƯỜNG 17",GÒ VẤP,"1,1","B1,B2",B11.1,
TNMG-B21.1,TÒA NHÀ MỘC GIA,"238-240 NGUYỄN OANH, PHƯỜNG 17",GÒ VẤP,"1,1","B1,B2",B21.1,
TNMPA-G1.1,TÒA NHÀ MỸ PHÚ A,60 LÂM VĂN BỀN,Q7,"1,1","G,B",G1.1,
TNMPA-B1.1,TÒA NHÀ MỸ PHÚ A,60 LÂM VĂN BỀN,Q7,"1,1","G,B",B1.1,
TNMPB-G1.1,TÒA NHÀ MỸ PHÚ B,60 LÂM VĂN BỀN,Q7,"1,1","G,B",G1.1,
TNMPB-B1.1,TÒA NHÀ MỸ PHÚ B,60 LÂM VĂN BỀN,Q7,"1,1","G,B",B1.1,
TTTM-G1.1,TÔN THẤT THUYẾT M1,1 TÔN THẤT THUYẾT PHƯỜNG 1,Q4,"1,1","G,B",G1.1,
TTTM-B1.1,TÔN THẤT THUYẾT M1,1 TÔN THẤT THUYẾT PHƯỜNG 1,Q4,"1,1","G,B",B1.1,
TTTM-G1.1,TÔN THẤT THUYẾT M2,1 TÔN THẤT THUYẾT PHƯỜNG 1,Q4,"1,1","G,B",G1.1,
TTTM-B1.1,TÔN THẤT THUYẾT M2,1 TÔN THẤT THUYẾT PHƯỜNG 1,Q4,"1,1","G,B",B1.1,
TTTM-G1.1,TÔN THẤT THUYẾT M3,1 TÔN THẤT THUYẾT PHƯỜNG 1,Q4,"1,1","G,B",G1.1,
TTTM-B1.1,TÔN THẤT THUYẾT M3,1 TÔN THẤT THUYẾT PHƯỜNG 1,Q4,"1,1","G,B",B1.1,
UA-BA-11.1,USEFUL APARTMENT - BLOCK A,654 LẠC LONG QUÂN P. TÂN HÒA,TÂN BÌNH,"2,2","1,B",11.1,
UA-BA-11.2,USEFUL APARTMENT - BLOCK A,654 LẠC LONG QUÂN P. TÂN HÒA,TÂN BÌNH,"2,2","1,B",11.2,
UA-BA-B1.1,USEFUL APARTMENT - BLOCK A,654 LẠC LONG QUÂN P. TÂN HÒA,TÂN BÌNH,"2,2","1,B",B1.1,
UA-BA-B1.2,USEFUL APARTMENT - BLOCK A,654 LẠC LONG QUÂN P. TÂN HÒA,TÂN BÌNH,"2,2","1,B",B1.2,
UA-BB-11.1,USEFUL APARTMENT - BLOCK B,654 LẠC LONG QUÂN P. TÂN HÒA,TÂN BÌNH,"1,1","1,B",11.1,
UA-BB-B1.1,USEFUL APARTMENT - BLOCK B,654 LẠC LONG QUÂN P. TÂN HÒA,TÂN BÌNH,"1,1","1,B",B1.1,
VĐS-BA-G1.1,VALEO ĐẦM SEN - BLOCK A,"318/5 TRỊNH ĐÌNH TRỌNG, PHƯỜNG HÒA THẠNH",TÂN PHÚ,"1,1","G,B",G1.1,
VĐS-BA-B1.1,VALEO ĐẦM SEN - BLOCK A,"318/5 TRỊNH ĐÌNH TRỌNG, PHƯỜNG HÒA THẠNH",TÂN PHÚ,"1,1","G,B",B1.1,
VĐS-BB-G1.1,VALEO ĐẦM SEN - BLOCK B,"318/5 TRỊNH ĐÌNH TRỌNG, PHƯỜNG HÒA THẠNH",TÂN PHÚ,"1,1","G,B",G1.1,
VĐS-BB-B1.1,VALEO ĐẦM SEN - BLOCK B,"318/5 TRỊNH ĐÌNH TRỌNG, PHƯỜNG HÒA THẠNH",TÂN PHÚ,"1,1","G,B",B1.1,
VĐS-BC-G1.1,VALEO ĐẦM SEN - BLOCK C,"318/5 TRỊNH ĐÌNH TRỌNG, PHƯỜNG HÒA THẠNH",TÂN PHÚ,"1,1","G,B",G1.1,
VĐS-BC-B1.1,VALEO ĐẦM SEN - BLOCK C,"318/5 TRỊNH ĐÌNH TRỌNG, PHƯỜNG HÒA THẠNH",TÂN PHÚ,"1,1","G,B",B1.1,
VĐ-G1.1,VIỄN ĐÔNG,14 PHAN TÔN P.TÂN ĐỊNH,Q1,"1,1","G,B",G1.1,
VĐ-B1.1,VIỄN ĐÔNG,14 PHAN TÔN P.TÂN ĐỊNH,Q1,"1,1","G,B",B1.1,
LSB-T-G1.1,LONG SƠN BUILDING - TTTM,"1349 - 1351 HUỲNH TẤN PHÁT, P PHÚ THUẬN",Q7,"1,1","G,B",G1.1,
LSB-T-B1.1,LONG SƠN BUILDING - TTTM,"1349 - 1351 HUỲNH TẤN PHÁT, P PHÚ THUẬN",Q7,"1,1","G,B",B1.1,
TWC-BB-S1Đ1-11.1,THE WESTERN CAPITAL - BLOCK B1 - SẢNH 1 ĐƯỜNG 17,"116 LÝ CHIÊU HOÀNG, PHƯỜNG 10",Q6,"1,1","1,B1",11.1,
TWC-BB-S1Đ1-B11.1,THE WESTERN CAPITAL - BLOCK B1 - SẢNH 1 ĐƯỜNG 17,"116 LÝ CHIÊU HOÀNG, PHƯỜNG 10",Q6,"1,1","1,B1",B11.1,
TWC-BB-S2Đ1-11.1,THE WESTERN CAPITAL - BLOCK B1 - SẢNH 2 ĐƯỜNG 19,"116 LÝ CHIÊU HOÀNG, PHƯỜNG 10",Q6,"1,1","1,B1",11.1,
TWC-BB-S2Đ1-B11.1,THE WESTERN CAPITAL - BLOCK B1 - SẢNH 2 ĐƯỜNG 19,"116 LÝ CHIÊU HOÀNG, PHƯỜNG 10",Q6,"1,1","1,B1",B11.1,
TWC-BB-11.1,THE WESTERN CAPITAL - BLOCK B2,"116 LÝ CHIÊU HOÀNG, PHƯỜNG 10",Q6,"2,1","1,B1",11.1,
TWC-BB-11.2,THE WESTERN CAPITAL - BLOCK B2,"116 LÝ CHIÊU HOÀNG, PHƯỜNG 10",Q6,"2,1","1,B1",11.2,
TWC-BB-B11.1,THE WESTERN CAPITAL - BLOCK B2,"116 LÝ CHIÊU HOÀNG, PHƯỜNG 10",Q6,"2,1","1,B1",B11.1,
TWC-BB-11.1,THE WESTERN CAPITAL - BLOCK B3,"116 LÝ CHIÊU HOÀNG, PHƯỜNG 10",Q6,"1,1","1,B1",11.1,
TWC-BB-B11.1,THE WESTERN CAPITAL - BLOCK B3,"116 LÝ CHIÊU HOÀNG, PHƯỜNG 10",Q6,"1,1","1,B1",B11.1,
